109,BIJELI GL 1500S     ,19000,2800000,450500
110,TRESNJA  ACCO 39345 ,19000,2800000,1336000
111,PINK FUNDER 51FH    ,19000,2800000,700000
112,Njezno Zelen 27178BS,19000,2000000,595500
113,ARTIC W SJAJ 606SG  ,19000,695000,2050000
114,SLJIVA 37771        ,19000,2800000,456500
115,SIVA TAMNA 2162     ,16000,2800000,697000
117,Kasmir 27049BS      ,19000,2130000,600000
118,BIJELI SJAJ 17005G  ,19000,2800000,700000
119,BIJELI GL 1500S     ,19000,1670000,1050000
120,BIJELA 01630 NK     ,18000,1600000,450000
121,HRAST AMAZONA 37713 ,19000,2218500,670000
122,BIJELI NK 1500P     ,19000,2070000,1350000
123,0595FH PACIFIC      ,19000,2800000,630000
124,BIJELI NK 1500P     ,16000,2800000,460000
125,PINK FUNDER 51FH    ,19000,2080000,700000
126,BIJELI SJAJ 17005G  ,19000,2800000,730000
127,CHILI CRVENA 27113  ,19000,2800000,720000
128,HRAST PJESCANI 37849,19000,1500000,500000
129,BIJELI 1615 FH FUND ,19000,2820000,1370500
130,HRAST BRONCA 34141  ,19000,2800000,470000
131,HRAST 34136R NATUR  ,19000,2800000,640000
132,SLONOVACA 2514      ,19000,2070000,1100000
133,Hr Mocca K4336NM    ,19000,2800000,510000
134,MAHAGONIJ 3753      ,19000,1420000,610000
135,AHORN MURNAU 3306   ,19000,2630000,600000
136,Hem Barrique 34034SV,19000,2800000,1140000
137,Tr Cremona 37740NM  ,19000,2800000,468500
138,BUKVA 3381          ,19000,1630500,600000
139,0052SG Tend Violet  ,19000,2000000,790000
140,BIJELA 01630 NK     ,18000,2070000,490000
141,Hr Mongori 37745AT  ,19000,2800000,820000
142,MCR 5881            ,19000,2070000,600000
143,BIJELI NK 1500P     ,19000,2070000,640000
144,SIVI NK 2191        ,19000,2800000,1260000
145,Orah Sicilija37755BS,19000,1710000,870000
146,Bor Kodiak 34308AT  ,19000,2050000,500000
147,Oksid 34321DP       ,19000,2800000,790000
148,BIJELI NK 1500P     ,18000,2070000,850000
149,DIJAMANT 1570       ,19000,1516000,530500
150,BIJELA 01630 NK     ,18000,2800000,637000
151,Hr Sono Svje 34038AT,19000,2800000,620000
152,HRAST 34136R NATUR  ,19000,2420000,450000
153,AHORN MURNAU 3306   ,19000,2800000,980000
155,MAGNOLIJA GOD 2507SU,19000,2800000,731000
158,BIJELI NK 1500P     ,18000,2070000,850000
159,HRAST NATUR GR 37511,19000,2800000,830000
160,BIJELI 1615 FH FUND ,19000,2070000,980000
161,HRAST TERRA 34137R  ,19000,2800000,1300000
162,BIJELI 1615 FH FUND ,19000,2070000,850000
163,TITAN 5853          ,19000,2800000,810500
164,ARTIC W SJAJ 606SG  ,19000,1680000,850000
165,WENGE NAIROBI 37648 ,19000,1370000,970000
166,HR MOCVARNI 37717A  ,19000,2384000,716000
167,HR MOCVARNI 37717A  ,19000,2800000,800000
168,BIJELI GL 1500S     ,19000,2070000,750000
169,CRVENA 2149         ,19000,2800000,640000
170,Javor Class 34047NM ,19000,2010000,570000
171,SIVI NK 2191        ,16000,2070000,400000
172,CRVENA 2149         ,19000,2800000,640000
173,BIJELI GL 1500S     ,19000,2070000,980000
174,HR MOCVARNI 37717A  ,19000,2800000,800000
175,BRIJEST 37965       ,19000,2186000,1119000
176,Wenge Gondou 37710BS,19000,2800000,530000
177,CRVENA 2149         ,19000,2800000,640000
178,ZUTA 2134           ,19000,2178500,516500
179,HRAST PJESCANI 37849,19000,580000,2070000
180,MASLINA 37762       ,19000,2800000,488000
181,CRVENA 2149         ,19000,2800000,640000
182,MDF BIJELI          ,19000,2650000,456500
183,JAVOR CORE 37776    ,19000,2800000,650000
184,CRVENA 2149         ,19000,2800000,640000
185,Hr Marcato K4337AW  ,19000,2800000,1030000
186,1300SG Sjaj Aluminij,19000,1598000,468000
187,ARTIC W SJAJ 606SG  ,19000,2800000,865500
189,BIJELA 01630 NK     ,18000,2070000,496000
190,SIVI NK 2191        ,19000,2320000,790000
191,CRVENA 2149         ,19000,1620000,670000
192,Cobalt 26299BS      ,19000,2800000,510000
193,Coco Bolo 38995AT   ,19000,2800000,596500
194,Hr Mongori 37745AT  ,19000,2800000,780000
195,Robinia Bat K4329AW ,19000,2800000,410000
196,Hr Prirodni 37307PR ,19000,1780000,550000
197,ZELENA MAMBA 27190  ,19000,2800000,850000
198,AHORN MURNAU 3306   ,19000,2800000,1210000
199,CRNA SJAJ FUNDER    ,19000,1880000,450000
200,Kasmir 27049BS      ,19000,2070000,760000
201,AMOUK 38543         ,19000,1560000,530500
202,SIVI NK 2191        ,19000,2070000,730000
203,Hr Alp Snjez K4325AW,19000,2616000,562000
204,HRAST CLASSIC 34140 ,19000,2800000,840000
205,Cobalt 26299BS      ,19000,2800000,900000
207,Cobalt 26299BS      ,19000,1850000,1100000
208,BIJELI GL 1500S     ,19000,1770000,1010000
209,Tr Cremona 37740NM  ,19000,2800000,1250500
210,Hr Quartz K4324SE   ,19000,1490000,490000
211,Hr Sono Gom 37855AW ,19000,2800000,1306000
212,Hr Sono Svje 34038AT,19000,1380000,480000
213,Jasen Nord K4343NM  ,19000,2800000,450000
214,0595FH PACIFIC      ,19000,2270000,480000
215,PLANINSKI BOR FUNDER,19000,2820000,1090000
216,Hr Pijesak K4333AW  ,19000,1380000,480000
